UniqueID,FullName,TwitterHandle,JoinedOn,YearJoined,CreatedAfterSession,YrAfterTwitter
DoJ-CA04,"Doolittle, John T.",jtdoolittle1950,2014-09-01,2014,,
CaJ-TX31,"Carter, John R.",JudgeCarter,2008-12-01,2008,,
PoT-TX02,"Poe, Ted",JudgeTedPoe,2009-09-01,2009,,
BiJ-IL13,"Biggert, Judy",JudyBiggert,2009-02-01,2009,,
AmJ-MI03,"Amash, Justin",justinamash,2011-01-01,2011,,
RiK-NY04,"Rice, Kathleen M.",KathleenRice,2009-10-01,2009,,
MaK-NC06,"Manning, Kathy E.",KathyManningNC,2017-12-01,2017,,
DaK-PA03,"Dahlkemper, Kathleen A.",kdahlkemper,2011-04-01,2011,,
ElK-MN05,"Ellison, Keith",keithellison,2008-03-01,2008,,
RoK-PA12,"Rothfus, Keith J.",KeithRothfus,2013-02-01,2013,,
KeR-FL08,"Keller, Ric",keller_ric,2019-02-01,2019,,
CaK-CA41,"Calvert, Ken",KenCalvert,2009-01-01,2009,,
MeK-FL17,"Meek, Kendrick B.",KendrickMeek,2009-03-01,2009,,
BeK-MI11,"Bentivolio, Kerry L.",KerryB4Congress,2012-07-01,2012,,
YoK-KS03,"Yoder, Kevin",kevinyoder,2011-02-01,2011,,
SaG-MP00,"Sablan, Gregorio Kilili Camacho",Kilili_Sablan,2017-11-01,2017,,
NoK-SD00,"Noem, Kristi L.",KristiNoem,2010-02-01,2010,,
HaK-GA05,"Hall, Kwanza",kwanzahall,2007-09-01,2007,,
ClW-MO01,"Clay, Wm. Lacy",LacyClayMO1,2012-05-01,2012,,
SmL-TX21,"Smith, Lamar",LamarSmithTX21,2008-08-01,2008,,
GoL-TX05,"Gooden, Lance",Lancegooden,2018-08-01,2018,,
LaS-OH14,"LaTourette, Steven C.",LaTourette,2009-01-01,2009,,
ZeL-NY01,"Zeldin, Lee M.",LeeMZeldin,2014-08-01,2014,,
TeL-NE02,"Terry, Lee",LEETERRYNE,2008-12-01,2008,,
BoL-IA03,"Boswell, Leonard L.",LeonardBoswell,2009-02-01,2009,,
LeJ-MN02,"Lewis, Jason",LewisForMN,2009-09-01,2009,,
DiL-FL21,"Diaz-Balart, Lincoln",LincolnDBalart,2012-08-01,2012,,
LiJ-GA07,"Linder, John",linderje,2013-12-01,2013,,
ChL-WY00,"Cheney, Liz",Liz_Cheney,2009-12-01,2009,,
SaL-CA46,"Sanchez, Loretta",LorettaSanchez,2010-01-01,2010,,
GoL-TX01,"Gohmert, Louie",LouieGohmertTX1,2016-01-01,2016,,
SlL-NY25,"Slaughter, Louise McIntosh",louiseslaughter,2009-08-01,2009,,
LoN-NY17,"Lowey, Nita M.",Lowey4Congress,2012-08-01,2012,,
FoL-PR00,"Fortuno, Luis G.",luisfortuno51,2010-08-01,2010,,
WoL-CA06,"Woolsey, Lynn C.",lynnwoolsey,2009-04-01,2009,,
ThM-TX13,"Thornberry, Mac",MacTXPress,2011-09-01,2011,,
MaT-NJ07,"Malinowski, Tom",Malinowski,2016-12-01,2016,,
MaT-PA12,"Marino, Tom",MarinoPA10,2014-09-01,2014,,
DiM-FL26,"Diaz-Balart, Mario",MarioDB,2009-01-01,2009,,
AmM-NV02,"Amodei, Mark E.",MarkAmodeiNV2,2011-11-01,2011,,
MeM-NC11,"Meadows, Mark",MarkMeadows,2012-11-01,2012,,
SaM-SC01,"Sanford, Mark",MarkSanford,2009-04-01,2009,,
UdM-CO02,"Udall, Mark",MarkUdall,2007-08-01,2007,,
BlM-TN07,"Blackburn, Marsha",MarshaBlackburn,2011-04-01,2011,,
McM-AZ02,"McSally, Martha",MarthaMcSallyAZ,2012-02-01,2012,,
RoM-AL02,"Roby, Martha",MarthaRobyAL,2010-12-01,2010,,
HeM-NM01,"Heinrich, Martin",MartinHeinrich,2013-01-01,2013,,
MeM-MA05,"Meehan, Martin T.",MartyMeehan,2015-11-01,2015,,
BoM-CA45,"Bono Mack, Mary",MaryBonoUSA,2009-01-01,2009,,
KiM-OH15,"Kilroy, Mary Jo",MaryJoKilroy,2008-06-01,2008,,
SaM-AZ05,"Salmon, Matt",MattSalmonAZ,2011-04-01,2011,,
HiM-NY22,"Hinchey, Maurice D.",mauricehinchey,2009-09-01,2009,,
MiM-OH07,"Miller, Max L.",MaxMillerOH,2019-07-01,2019,,
FlM-TX34,"Flores, Mayra",MayraFlores2022,2009-11-01,2009,,
HiM-HI02,"Hirono, Mazie K.",maziehirono,2009-11-01,2009,,
MeC-LA03,"Melancon, Charlie",melancon2010,2009-08-01,2009,,
LoM-UT04,"Love, Mia B.",MiaBLove,2011-07-01,2011,,
BuM-TX26,"Burgess, Michael C.",michaelcburgess,2008-08-01,2008,,
GrM-NY11,"Grimm, Michael G.",MichaelGrimmNY,2017-08-01,2017,,
MiM-ME02,"Michaud, Michael H.",Michaud2014,2013-06-01,2013,,
BaM-MN06,"Bachmann, Michele",MicheleBachmann,2008-12-01,2008,,
LuM-NM01,"Lujan Grisham, Michelle",Michelle4NM,2011-09-01,2011,,
MuM-SC05,"Mulvaney, Mick",MickMulvaneyOMB,2017-07-01,2017,,
TrD-MI11,"Trott, David A.",MIDaveTrott,2014-11-01,2014,,
PeM-IN06,"Pence, Mike",Mike_Pence,2009-02-01,2009,,
BiM-MI08,"Bishop, Mike",MikeBishopMI,2009-05-01,2009,,
CaM-MA07,"Capuano, Michael E.",mikecapuano,2009-09-01,2009,,
KeM-PA16,"Kelly, Mike",MikeKellyPA,2012-01-01,2012,,
McM-NC07,"McIntyre, Mike",MikeMcIntyreNC,2009-06-01,2009,,
PoM-KS04,"Pompeo, Mike",mikepompeo,2019-08-01,2019,,
RoM-AR04,"Ross, Mike",MikeRossUpdates,2010-01-01,2010,,
WaM-CA45,"Walters, Mimi",MimiWaltersCA,2014-02-01,2014,,
JoM-NY17,"Jones, Mondaire",MondaireJones,2017-06-01,2017,,
HaN-NY19,"Hayworth, Nan A. S.",NanHayworth,2011-01-01,2011,,
DeN-GA09,"Deal, Nathan",NathanDeal,2009-06-01,2009,,
AbN-HI01,"Abercrombie, Neil",neilabercrombie,2007-11-01,2007,,
LaN-NY23,"Langworthy, Nicholas A.",NickLangworthy,2009-01-01,2009,,
LaN-TX22,"Lampson, Nick",nlampson,2009-02-01,2009,,
ToN-CA35,"Torres, Norma J.",NormaJTorres,2011-01-01,2011,,
VeN-NY07,"Velazquez, Nydia M.",NydiaVelazquez,2010-07-01,2010,,
BrA-MD04,"Brown, Anthony G.",OAGMaryland,2017-01-01,2017,,
MeP-PA07,"Meehan, Patrick",PatMeehanPA,2010-01-01,2010,,
McP-NC10,"McHenry, Patrick T.",PatrickMcHenry,2009-03-01,2009,,
MuP-FL18,"Murphy, Patrick",PatrickMurphyFL,2011-03-01,2011,,
MuP-PA08,"Murphy, Patrick J.",PatrickMurphyPA,2010-10-01,2010,,
TiP-OH12,"Tiberi, Patrick J.",PatTiberi,2012-10-01,2012,,
BrP-GA10,"Broun, Paul C.",PaulBrounforGA,2010-09-01,2010,,
HoP-NH02,"Hodes, Paul W.",paulhodes1,2013-04-01,2013,,
KaP-PA11,"Kanjorski, Paul E.",PaulKanjorski,2010-06-01,2010,,
PeS-NM02,"Pearce, Stevan",Pearce4NM,2009-05-01,2009,,
PiP-PR00,"Pierluisi, Pedro R.",pedropierluisi,2009-04-01,2009,,
GaP-TX23,"Gallego, Pete P.",petegallego,2009-08-01,2009,,
RoP-IL06,"Roskam, Peter J.",PeterRoskam,2009-02-01,2009,,
WeP-VT00,"Welch, Peter",PeterWelch,2013-05-01,2013,,
SeP-TX17,"Sessions, Pete",PeteSessions,2009-01-01,2009,,
KeP-RI01,"Kennedy, Patrick J.",PJK4brainhealth,2012-04-01,2012,,
CaF-TX23,"Canseco, Francisco ""Quico""",QuicoCanseco,2014-04-01,2014,,
EmR-IL05,"Emanuel, Rahm",RahmEmanuel,2010-10-01,2010,,
HaR-TX04,"Hall, Ralph M.",RalphHallPress,2013-02-01,2013,,
FoJ-VA04,"Forbes, J. Randy",Randy_Forbes,2008-06-01,2008,,
NeR-TX19,"Neugebauer, Randy",RandyNeugebauer,2009-04-01,2009,,
LaR-ID01,"Labrador, Raul R.",Raul_Labrador,2011-02-01,2011,,
LaR-IL18,"LaHood, Ray",RayLaHood,2013-07-01,2013,,
CrM-PA12,"Critz, Mark S.",realMarkCritz,2010-02-01,2010,,
ReR-AZ01,"Renzi, Rick",RenziRick,2019-02-01,2019,,
ClA-GA09,"Clyde, Andrew S.",Rep_Clyde,2021-02-01,2021,,
JaJ-IL01,"Jackson, Jonathan L.",rep_jackson,2023-01-01,2023,,
MaS-RI02,"Magaziner, Seth",Rep_Magaziner,2023-01-01,2023,,
GrP-AL05,"Griffith, Parker",Rep_P_Griffith,2010-02-01,2010,,
PeM-AK00,"Peltola, Mary Sattler",rep_peltola,2022-09-01,2022,,
SoS-FL02,"Southerland, Steve II",Rep_Southerland,2011-01-01,2011,,
StM-NM01,"Stansbury, Melanie Ann",Rep_Stansbury,2021-06-01,2021,,
WoS-AR03,"Womack, Steve",rep_stevewomack,2011-01-01,2011,,
BeA-FL04,"Bean, Aaron",RepAaronBean,2022-01-01,2022,,
AbR-LA05,"Abraham, Ralph Lee",RepAbraham,2015-01-01,2015,,
AdA-NC12,"Adams, Alma S.",RepAdams,2014-01-01,2014,,
ScA-CA30,"Schiff, Adam B.",RepAdamSchiff,2009-04-01,2009,,
SmA-WA09,"Smith, Adam",RepAdamSmith,2009-03-01,2009,,
SmA-NE03,"Smith, Adrian",RepAdrianSmith,2011-01-01,2011,,
MoA-WV02,"Mooney, Alexander X.",RepAlexMooney,2015-01-01,2015,,
GrA-TX09,"Green, Al",RepAlGreen,2010-04-01,2010,,
RaA-AS00,"Radewagen, Aumua Amata Coleman",RepAmata,2015-02-01,2015,,
CaA-IN07,"Carson, Andre",RepAndreCarson,2010-10-01,2010,,
BaA-KY06,"Barr, Andy",RepAndyBarr,2013-01-01,2013,,
BiA-AZ05,"Biggs, Andy",RepAndyBiggsAZ,2017-01-01,2017,,
HaA-MD01,"Harris, Andy",RepAndyHarrisMD,2012-01-01,2012,,
KiA-NJ03,"Kim, Andy",RepAndyKimNJ,2018-01-01,2018,,
LeA-MI09,"Levin, Andy",RepAndyLevin,2019-01-01,2019,,
CrA-MN02,"Craig, Angie",RepAngieCraig,2019-01-01,2019,,
EsA-CA16,"Eshoo, Anna G.",RepAnnaEshoo,2011-02-01,2011,,
KuA-NH02,"Kuster, Ann M.",RepAnnieKuster,2013-01-01,2013,,
WaA-MO02,"Wagner, Ann",RepAnnWagner,2012-01-01,2012,,
OcA-NY14,"Ocasio-Cortez, Alexandria",RepAOC,2018-01-01,2018,,
ArK-ND00,"Armstrong, Kelly",RepArmstrongND,2019-01-01,2019,,
ArJ-TX19,"Arrington, Jodey C.",RepArrington,2017-01-01,2017,,
HiA-IA02,"Hinson, Ashley",RepAshleyHinson,2020-01-01,2020,,
AuJ-MA04,"Auchincloss, Jake",RepAuchincloss,2020-01-01,2020,,
BaT-OH12,"Balderson, Troy",RepBalderson,2018-09-01,2018,,
LeB-CA12,"Lee, Barbara",RepBarbaraLee,2011-02-01,2011,,
BaN-CA44,"Barragan, Nanette Diaz",RepBarragan,2017-01-01,2017,,
BaJ-SC03,"Barrett, J. Gresham",RepBarrett,2009-01-01,2009,,
MoB-AL02,"Moore, Barry",RepBarryMoore,2020-01-01,2020,,
BeJ-OH03,"Beatty, Joyce",RepBeatty,2013-03-01,2013,,
BaB-VT00,"Balint, Becca",RepBeccaB,2022-01-01,2022,,
ClB-VA06,"Cline, Ben",RepBenCline,2018-01-01,2018,,
BeC-OR02,"Bentz, Cliff",RepBentz,2021-01-01,2021,,
BeA-CA06,"Bera, Ami",RepBera,2012-11-01,2012,,
VaB-TX24,"Van Duyne, Beth",RepBethVanDuyne,2020-12-01,2020,,
BiS-OK05,"Bice, Stephanie I.",RepBice,2020-12-01,2020,,
FoB-IL11,"Foster, Bill",RepBillFoster,2013-01-01,2013,,
JoB-OH06,"Johnson, Bill",RepBillJohnson,2010-11-01,2010,,
LuB-MO03,"Luetkemeyer, Blaine",RepBlaine,2013-09-01,2013,,
MoB-UT01,"Moore, Blake D.",RepBlakeMoore,2020-12-01,2020,,
BlE-OR03,"Blumenauer, Earl",repblumenauer,2008-08-01,2008,,
GoB-VA05,"Good, Bob",RepBobGood,2021-01-01,2021,,
BoL-CO03,"Boebert, Lauren",RepBoebert,2020-12-01,2020,,
BoS-OR01,"Bonamici, Suzanne",RepBonamici,2012-04-01,2012,,
WaB-NJ12,"Watson Coleman, Bonnie",RepBonnie,2015-01-01,2015,,
BoM-IL12,"Bost, Mike",RepBost,2015-01-01,2015,,
BoJ-NY16,"Bowman, Jamaal",RepBowman,2020-12-01,2020,,
AsB-NE02,"Ashford, Brad",RepBradAshford,2015-01-01,2015,,
WeB-OH02,"Wenstrup, Brad R.",RepBradWenstrup,2012-03-01,2012,,
BrJ-OK02,"Brecheen, Josh",RepBrecheen,2022-12-01,2022,,
BaB-TX36,"Babin, Brian",RepBrianBabin,2014-12-01,2014,,
FiB-PA01,"Fitzpatrick, Brian K.",RepBrianFitz,2017-01-01,2017,,
HiB-NY26,"Higgins, Brian",RepBrianHiggins,2009-04-01,2009,,
MaB-FL21,"Mast, Brian J.",RepBrianMast,2016-12-01,2016,,
BrA-NY22,"Brindisi, Anthony",RepBrindisi,2019-01-01,2019,,
BrJ-CA26,"Brownley, Julia",RepBrownley,2013-03-01,2013,,
StB-WI01,"Steil, Bryan",RepBryanSteil,2018-12-01,2018,,
CaE-GA01,"Carter, Earl L. ""Buddy""",RepBuddyCarter,2015-01-15,2015,,
OwB-UT04,"Owens, Burgess",RepBurgessOwens,2020-12-01,2020,,
CaY-CO08,"Caraveo, Yadira",RepCaraveoMD,2023-01-01,2023,,
CaS-CA24,"Carbajal, Salud O.",RepCarbajal,2017-01-01,2017,,
CaT-CA29,"Cardenas, Tony",repcardenas,2013-02-01,2013,,
CaD-CA18,"Cardoza, Dennis A.",RepCardoza,2010-01-01,2010,,
GiC-FL28,"Gimenez, Carlos A.",RepCarlos,2020-12-01,2020,,
MiC-WV01,"Miller, Carol D.",RepCarolMiller,2019-01-01,2019,,
CaM-PA08,"Cartwright, Matt",RepCartwright,2012-08-01,2012,,
CaG-TX35,"Casar, Greg",RepCasar,2022-03-01,2022,,
CaS-IL06,"Casten, Sean",RepCasten,2019-01-01,2019,,
CaM-NC11,"Cawthorn, Madison",RepCawthorn,2020-12-01,2020,,
BaC-NH02,"Bass, Charles F.",RepCharlesBass,2011-01-01,2011,,
DjC-HI01,"Djou, Charles K.",RepCharlesDjou,2010-06-01,2010,,
DeC-PA15,"Dent, Charles W.",RepCharlieDent,2011-01-01,2011,,
BuC-IL17,"Bustos, Cheri",RepCheri,2013-01-01,2013,,
RoC-TX21,"Roy, Chip",RepChipRoy,2019-01-01,2019,,
PaC-NH01,"Pappas, Chris",RepChrisPappas,2018-01-01,2018,,
StC-UT02,"Stewart, Chris",RepChrisStewart,2013-01-01,2013,,
FlC-TN03,"Fleischmann, Charles J. ""Chuck""",RepChuck,2011-01-01,2011,,
CiJ-AZ06,"Ciscomani, Juan",RepCiscomani,2022-12-01,2022,,
HiC-LA03,"Higgins, Clay",RepClayHiggins,2017-03-01,2017,,
ClE-MO05,"Cleaver, Emanuel",repcleaver,2020-07-01,2020,,
StC-FL06,"Stearns, Cliff",RepCliffStearns,2009-02-01,2009,,
ClM-TX27,"Cloud, Michael",RepCloudTX,2018-09-01,2018,,
CoS-TN09,"Cohen, Steve",RepCohen,2010-07-01,2010,,
AlC-TX32,"Allred, Colin Z.",RepColinAllred,2018-12-01,2018,,
CoC-CA22,"Conway, Connie",RepConnieConway,2022-07-01,2022,,
BuC-MO01,"Bush, Cori",RepCori,2018-06-01,2018,,
CuH-TX28,"Cuellar, Henry",RepCuellar,2010-11-01,2010,,
CuE-MD07,"Cummings, Elijah E.",RepCummings,2012-08-01,2012,,
CuJ-SC01,"Cunningham, Joe",RepCunningham,2019-01-01,2019,,
ClC-FL19,"Clawson, Curt",RepCurtClawson,2014-08-01,2014,,
StD-AL05,"Strong, Dale W.",RepDaleStrong,2017-01-01,2017,,
BiD-NC08,"Bishop, Dan",RepDanBishop,2019-09-01,2019,,
CrD-TX02,"Crenshaw, Dan",RepDanCrenshaw,2019-01-01,2019,,
DoD-NY11,"Donovan, Daniel M., Jr.",RepDanDonovan,2015-07-01,2015,,
GoD-NY10,"Goldman, Daniel S.",RepDanGoldman,2023-01-01,2023,,
KiD-MI08,"Kildee, Daniel T.",RepDanKildee,2012-12-01,2012,,
LuD-CA03,"Lungren, Daniel E.",RepDanLungren,2011-09-01,2011,,
DaD-IL07,"Davis, Danny K.",RepDannyDavis,2012-08-01,2012,,
IsD-CA48,"Issa, Darrell E.",repdarrellissa,2009-08-01,2009,,
SoD-FL09,"Soto, Darren",RepDarrenSoto,2017-01-01,2017,,
JoD-OH14,"Joyce, David P.",RepDaveJoyce,2012-11-01,2012,,
ScD-AZ01,"Schweikert, David",RepDavid,2010-12-01,2010,,
PrD-NC04,"Price, David E.",RepDavidEPrice,2010-06-01,2010,,
KuD-TN08,"Kustoff, David",RepDavidKustoff,2017-01-01,2017,,
RoD-NC07,"Rouzer, David",RepDavidRouzer,2012-09-01,2012,,
DaS-KS03,"Davids, Sharice",RepDavids,2019-01-01,2019,,
ScD-GA13,"Scott, David",repdavidscott,2010-07-01,2010,,
TrD-MD06,"Trone, David J.",RepDavidTrone,2019-01-01,2019,,
VaD-CA22,"Valadao, David G.",RepDavidValadao,2013-01-01,2013,,
DeM-PA04,"Dean, Madeleine",RepDean,2012-04-01,2012,,
PhD-MN03,"Phillips, Dean",RepDeanPhillips,2018-11-01,2018,,
DiD-MI06,"Dingell, Debbie",RepDebDingell,2013-11-01,2013,,
HaD-NM01,"Haaland, Debra A.",RepDebHaaland,2019-01-01,2019,,
DeS-WA01,"DelBene, Suzan K.",RepDelBene,2012-12-01,2012,,
DeA-NY19,"Delgado, Antonio",repdelgado,2019-01-01,2019,,
DeC-PA17,"Deluzio, Christopher R.",RepDeluzio,2022-12-01,2022,,
KiD-WA06,"Kilmer, Derek",RepDerekKilmer,2013-01-01,2013,,
DeM-CA10,"DeSaulnier, Mark",RepDeSaulnier,2015-01-01,2015,,
D'A-NY04,"D'Esposito, Anthony",RepDesposito,2022-12-01,2022,,
DeD-CO01,"DeGette, Diana",RepDianaDeGette,2009-04-01,2009,,
BlD-TN06,"Black, Diane",RepDianeBlack,2010-02-01,2010,,
TiD-NV01,"Titus, Dina",repdinatitus,2010-03-01,2010,,
LaD-CO05,"Lamborn, Doug",RepDLamborn,2012-05-01,2012,,
LeD-AZ08,"Lesko, Debbie",RepDLesko,2018-05-01,2018,,
MuD-FL26,"Mucarsel-Powell, Debbie",RepDMP,2019-01-01,2019,,
DoR-IL10,"Dold, Robert J.",RepDold,2011-01-01,2011,,
PaJrD-NJ10,"Payne, Donald M., Jr.",RepDonaldPayne,2013-02-01,2013,,
DoB-FL19,"Donalds, Byron",RepDonaldsPress,2020-12-01,2020,,
BaD-NE02,"Bacon, Don",RepDonBacon,2017-01-01,2017,,
BeD-VA08,"Beyer, Donald S., Jr.",RepDonBeyer,2015-01-01,2015,,
DaD-NC01,"Davis, Donald G.",RepDonDavis,2023-01-01,2023,,
YoD-AK00,"Young, Don",repdonyoung,2009-05-01,2009,,
CoD-GA09,"Collins, Doug",RepDougCollins,2013-01-01,2013,,
FeA-GA03,"Ferguson, A. Drew, IV",RepDrewFerguson,2016-12-01,2016,,
DuJ-CA13,"Duarte, John S.",RepDuarteCA13,2023-01-01,2023,,
JoD-SD00,"Johnson, Dusty",RepDustyJohnson,2018-12-01,2018,,
EvD-PA03,"Evans, Dwight",RepDwightEvans,2009-11-01,2009,,
WaD-FL25,"Wasserman Schultz, Debbie",RepDWStweets,2013-02-01,2013,,
JoE-TX30,"Johnson, Eddie Bernice",RepEBJ,2010-07-01,2010,,
CaE-HI01,"Case, Ed",RepEdCase,2019-01-01,2019,,
EdC-NC11,"Edwards, Chuck",RepEdwards,2022-12-01,2022,,
WhE-KY01,"Whitfield, Ed",RepEdWhitfield,2011-01-01,2011,,
LuE-VA02,"Luria, Elaine G.",RepElaineLuria,2019-01-01,2019,,
CrE-AZ02,"Crane, Elijah",RepEliCrane,2022-12-01,2022,,
EnE-NY16,"Engel, Eliot L.",RepEliotEngel,2010-07-01,2010,,
ElJ-TX06,"Ellzey, Jake",RepEllzey,2021-03-01,2021,,
BuE-MO07,"Burlison, Eric",RepEricBurlison,2022-12-01,2022,,
SoE-IL17,"Sorensen, Eric",RepEricSorensen,2023-01-01,2023,,
EsV-TX16,"Escobar, Veronica",RepEscobar,2018-12-01,2018,,
EsA-NY13,"Espaillat, Adriano",RepEspaillat,2017-01-01,2017,,
EzM-MS04,"Ezell, Mike",RepEzell,2022-12-01,2022,,
FeR-IA04,"Feenstra, Randy",RepFeenstra,2021-01-01,2021,,
VeF-TX34,"Vela, Filemon",RepFilemonVela,2013-01-01,2013,,
FiS-TN08,"Fincher, Stephen Lee",RepFincherTN08,2011-02-01,2011,,
FiB-MN01,"Finstad, Brad",repfinstad,2022-08-01,2022,,
FiM-MN07,"Fischbach, Michelle",RepFischbach,2020-12-01,2020,,
FiS-WI05,"Fitzgerald, Scott",RepFitzgerald,2012-12-01,2012,,
FiM-PA08,"Fitzpatrick, Michael G.",RepFitzpatrick,2011-01-01,2011,,
FlJ-LA04,"Fleming, John",RepFleming,2009-10-01,2009,,
FlL-TX07,"Fletcher, Lizzie",RepFletcher,2018-12-01,2018,,
GuF-NH01,"Guinta, Frank C.",RepFrankGuinta,2011-01-01,2011,,
FrC-FL18,"Franklin, C. Scott",RepFranklin,2020-12-01,2020,,
LuF-OK03,"Lucas, Frank D.",RepFrankLucas,2011-01-01,2011,,
KeF-PA12,"Keller, Fred",RepFredKeller,2019-06-01,2019,,
UpF-MI06,"Upton, Fred",RepFredUpton,2010-03-01,2010,,
HiJ-AR02,"Hill, J. French",repfrenchhill,2014-12-01,2014,,
GaM-WI08,"Gallagher, Mike",RepGallagher,2017-01-01,2017,,
GaJ-CA08,"Garamendi, John",RepGaramendi,2009-11-01,2009,,
GaA-NY02,"Garbarino, Andrew R.",RepGarbarino,2020-12-01,2020,,
GrG-LA06,"Graves, Garret",RepGarretGraves,2014-12-01,2014,,
GaS-NJ05,"Garrett, Scott",RepGarrett,2012-11-01,2012,,
AcG-NY05,"Ackerman, Gary L.",RepGaryAckerman,2009-11-01,2009,,
MiG-CA31,"Miller, Gary G.",RepGaryMiller,2010-06-01,2010,,
DaG-KY04,"Davis, Geoff",RepGeoffDavis,2011-01-01,2011,,
CiG-CA39,"Cisneros, Gilbert Ray, Jr.",RepGilCisneros,2019-01-01,2019,,
IvG-MD04,"Ivey, Glenn",RepGlennIvey,2023-01-01,2023,,
GoJ-ME02,"Golden, Jared F.",RepGolden,2019-01-01,2019,,
GoV-TX34,"Gonzalez, Vicente",RepGonzalez,2017-01-01,2017,,
GoB-VA06,"Goodlatte, Bob",RepGoodlatte,2009-05-01,2009,,
GoP-AZ09,"Gosar, Paul A.",RepGosar,2011-01-01,2011,,
MeG-NY06,"Meng, Grace",RepGraceMeng,2012-12-01,2012,,
LaG-OH01,"Landsman, Greg",RepGregLandsman,2023-01-01,2023,,
MuG-NC03,"Murphy, Gregory",RepGregMurphy,2019-09-01,2019,,
MeG-NY05,"Meeks, Gregory W.",RepGregoryMeeks,2009-03-01,2009,,
PeG-IN06,"Pence, Greg",RepGregPence,2019-01-01,2019,,
StG-AZ04,"Stanton, Greg",RepGregStanton,2019-01-01,2019,,
StW-FL17,"Steube, W. Gregory",RepGregSteube,2019-01-01,2019,,
WaG-OR02,"Walden, Greg",repgregwalden,2009-04-01,2009,,
GrG-WI06,"Grothman, Glenn",RepGrothman,2015-01-01,2015,,
BiG-FL12,"Bilirakis, Gus M.",RepGusBilirakis,2009-03-01,2009,,
GuB-KY02,"Guthrie, Brett",RepGuthrie,2013-01-01,2013,,
GuL-IL04,"Gutierrez, Luis V.",RepGutierrez,2009-05-01,2009,,
MoG-WI04,"Moore, Gwen",RepGwenMoore,2009-01-01,2009,,
HaJ-MN01,"Hagedorn, Jim",RepHagedorn,2019-01-01,2019,,
HaH-WY00,"Hageman, Harriet M.",RepHageman,2022-10-01,2022,,
StH-MI11,"Stevens, Haley M.",RepHaleyStevens,2018-12-01,2018,,
RoH-KY05,"Rogers, Harold",RepHalRogers,2012-04-01,2012,,
HaC-HI01,"Hanabusa, Colleen",RepHanabusa,2011-01-01,2011,,
JoH-GA04,"Johnson, Henry C. ""Hank,"" Jr.",RepHankJohnson,2009-03-01,2009,,
HaC-NV04,"Hardy, Cresent",RepHardy,2015-01-01,2015,,
RoH-CA48,"Rouda, Harley",RepHarley,2018-12-01,2018,,
HaD-TN01,"Harshbarger, Diana",RepHarshbarger,2021-01-01,2021,,
HaV-MO04,"Hartzler, Vicky",RepHartzler,2011-01-01,2011,,
HeJ-TX05,"Hensarling, Jeb",RepHensarling,2009-01-01,2009,,
HoG-NC02,"Holding, George",RepHolding,2013-01-01,2013,,
HoS-NV04,"Horsford, Steven",RepHorsford,2011-10-01,2011,,
HoE-IN09,"Houchin, Erin",RepHouchin,2022-12-01,2022,,
HoC-PA06,"Houlahan, Chrissy",RepHoulahan,2018-10-01,2018,,
HuJ-CA02,"Huffman, Jared",RepHuffman,2013-01-01,2013,,
HuB-MI04,"Huizenga, Bill",RepHuizenga,2011-01-01,2011,,
HuR-IL14,"Hultgren, Randy",RepHultgren,2011-01-01,2011,,
BeJ-MI01,"Bergman, Jack",RepJackBergman,2016-12-01,2016,,
JaC-NY27,"Jacobs, Chris",RepJacobs,2020-06-01,2020,,
HaJ-CT05,"Hayes, Jahana",RepJahanaHayes,2019-01-01,2019,,
CoJ-KY01,"Comer, James",RepJamesComer,2020-06-01,2020,,
PoJ-CO02,"Polis, Jared",RepJaredPolis,2012-01-01,2012,,
CrJ-TX30,"Crockett, Jasmine",RepJasmine,2023-01-01,2023,,
CrJ-CO06,"Crow, Jason",RepJasonCrow,2019-01-01,2019,,
SmJ-MO08,"Smith, Jason",RepJasonSmith,2013-07-01,2013,,
JaP-WA07,"Jayapal, Pramila",RepJayapal,2017-01-01,2017,,
BrJ-OK01,"Bridenstine, Jim",RepJBridenstine,2013-01-01,2013,,
DuJ-SC03,"Duncan, Jeff",RepJeffDuncan,2011-01-01,2011,,
JaJ-NC14,"Jackson, Jeff",RepJeffJackson,2023-01-01,2023,,
JeH-NY08,"Jeffries, Hakeem S.",RepJeffries,2012-01-01,2012,,
GoJ-PR00,"Gonzalez-Colon, Jenniffer",RepJenniffer,2017-01-01,2017,,
CaJ-AL01,"Carl, Jerry L.",RepJerryCarl,2020-12-01,2020,,
LeJ-CA41,"Lewis, Jerry",RepJerryLewis,2009-09-01,2009,,
NaJ-NY12,"Nadler, Jerrold",RepJerryNadler,2009-05-01,2009,,
ToJ-HI02,"Tokuda, Jill N.",RepJillTokuda,2023-01-01,2023,,
BaJ-IN04,"Baird, James R.",RepJimBaird,2019-01-01,2019,,
BaJ-IN03,"Banks, Jim",RepJimBanks,2017-01-01,2017,,
CoJ-CA21,"Costa, Jim",RepJimCosta,2011-01-01,2011,,
MaJ-UT04,"Matheson, Jim",RepJimMatheson,2009-06-01,2009,,
McJ-WA07,"McDermott, Jim",RepJimMcDermott,2010-04-01,2010,,
GoJ-CA34,"Gomez, Jimmy",RepJimmyGomez,2014-03-01,2014,,
PaJ-CA19,"Panetta, Jimmy",RepJimmyPanetta,2016-11-01,2016,,
BaJ-TX06,"Barton, Joe",RepJoeBarton,2009-02-01,2009,,
