UniqueID,FullName,TwitterHandle,JoinedOn,YearJoined,CreatedAfterSession,YrAfterTwitter
SuJ-OK01,"Sullivan, John",TEAMSullivan,2009-11-01,2009,,
StT-OH06,"Strickland, Ted",Ted_Strickland,2009-04-01,2009,,
GoT-SC04,"Gowdy, Trey",TGowdySC,2011-01-01,2011,,
BiT-NY01,"Bishop, Timothy H.",TimBishop2014,2012-02-01,2012,,
HoT-PA17,"Holden, Tim",TimHoldenPA17,2010-04-01,2010,,
MaT-FL16,"Mahoney, Tim",TimMahoney67A,2013-03-01,2013,,
RoT-IN04,"Rokita, Todd",ToddRokita,2008-11-01,2008,,
SuT-NY03,"Suozzi, Thomas R.",Tom_Suozzi,2009-01-01,2009,,
CoT-OK04,"Cole, Tom",TomColeOK04,2009-03-01,2009,,
DeT-TX22,"DeLay, Tom",tomdelay,2007-05-01,2007,,
LaT-IA03,"Latham, Tom",TomLatham,2007-11-01,2007,,
PeT-VA05,"Perriello, Thomas S.P.",tomperriello,2008-04-01,2008,,
ReT-NY23,"Reed, Tom",TomReedCongress,2009-08-01,2009,,
RoT-FL17,"Rooney, Thomas J.",TomRooney,2009-03-01,2009,,
ChT-MS01,"Childers, Travis",travchilders,2015-03-01,2015,,
RaT-FL19,"Radel, Trey",treyradel,2008-11-01,2008,,
TaT-CO06,"Tancredo, Thomas G.",ttancredo,2009-08-01,2009,,
GaT-HI02,"Gabbard, Tulsi",TulsiPress,2013-01-01,2013,,
GoC-TX20,"Gonzalez, Charles A.",TX20CharlieG,2011-01-01,2011,,
WeR-TX14,"Weber, Randy K., Sr.",TXRandy14,2013-01-01,2013,,
TuR-NY09,"Turner, Robert L.",USRepBobTurner,2011-09-01,2011,,
JoD-FL13,"Jolly, David W.",USRepDavidJolly,2014-05-01,2014,,
PaG-AL06,"Palmer, Gary J.",USRepGaryPalmer,2014-11-01,2014,,
CaK-FL14,"Castor, Kathy",USRepKCastor,2013-11-01,2013,,
KeW-MA09,"Keating, William R.",USRepKeating,2011-01-01,2011,,
DoM-PA18,"Doyle, Michael F.",USRepMikeDoyle,2009-05-01,2009,,
FlM-NE01,"Flood, Mike",USRepMikeFlood,2022-07-01,2022,,
HiR-TX15,"Hinojosa, Ruben",USRepRHinojosa,2011-01-01,2011,,
NoR-MN08,"Nolan, Richard M.",USRepRickNolan,2013-01-01,2013,,
FoV-NC04,"Foushee, Valerie P.",ValerieFoushee,2023-01-01,2023,,
McV-LA05,"McAllister, Vance M.",VanceMcAllister,2013-09-01,2013,,
BuV-FL16,"Buchanan, Vern",VernBuchanan,2009-02-01,2009,,
GoV-VA05,"Goode, Virgil H., Jr.",VirgilGoode,2012-06-01,2012,,
FoV-NC05,"Foxx, Virginia",virginiafoxx,2008-09-01,2008,,
JoB-MI13,"Jones, Brenda",VoteBrendaJones,2018-06-01,2018,,
BrC-FL05,"Brown, Corrine",votecorrine,2022-06-01,2022,,
WaJ-IL08,"Walsh, Joe",WalshFreedom,2011-01-01,2011,,
DaW-OH08,"Davidson, Warren",WarrenDavidson,2016-06-01,2016,,
WeL-GA03,"Westmoreland, Lynn A.",Westmoreland_GA,2010-04-01,2010,,
HuW-TX23,"Hurd, Will",WillHurd,2015-01-01,2015,,
YoD-IA03,"Young, David",YoungForIowa,2013-05-01,2013,,
HeY-NM02,"Herrell, Yvette",Yvette4congress,2017-08-01,2017,,
NuZ-IA03,"Nunn, Zachary",ZachNunn,2023-01-01,2023,,
SpZ-OH18,"Space, Zachary T.",ZackSpaceOhio,2010-06-01,2010,,
