UniqueID,Name,TwitterHandle,JoinedOn,YearJoined,CreatedAfterSession,YrAfterTwitter
InB-SC04,"Inglis, Bob",bobinglis,10/1/2008,2008,,
LaR-OH05,"Latta, Robert E.",boblatta,1/1/2008,2008,,
EtB-NC02,"Etheridge, Bob",bobretheridge,11/1/2010,2010,,
BoN-KS02,"Boyda, Nancy E.",BoydaNancy,5/1/2019,2019,,
ShB-CA32,"Sherman, Brad",BradSherman,1/1/2009,2009,,
BrK-TX08,"Brady, Kevin",bradyfortexas,5/1/2012,2012,,
LaB-MI14,"Lawrence, Brenda L.",BrendaLLawrence,7/1/2009,2009,,
PoB-ME02,"Poliquin, Bruce",BrucePoliquin,4/1/2009,2009,,
OtC-ID01,"Otter, C. L. (Butch)",ButchOtter,4/1/2009,2009,,
RuC-MD02,"Ruppersberger, C. A. Dutch",Call_Me_Dutch,1/1/2011,2011,,
MiC-MI10,"Miller, Candice S.",CandiceMiller,6/1/2008,2008,,
CuC-FL26,"Curbelo, Carlos",carloslcurbelo,10/1/2014,2014,,
BoC-GA07,"Bourdeaux, Carolyn",Carolyn4GA7,6/1/2017,2017,,
McC-WA05,"McMorris Rodgers, Cathy",cathymcmorris,1/1/2008,2008,,
EdC-TX17,"Edwards, Chet",CEdwardsTX,11/1/2016,2016,,
HaR-NC08,"Hayes, Robin",ChairmanHayes,1/1/2011,2011,,
CrC-FL13,"Crist, Charlie",CharlieCrist,5/1/2009,2009,,
PiC-ME01,"Pingree, Chellie",chelliepingree,6/1/2008,2008,,
CaC-UT03,"Cannon, Chris",chriscanno,1/1/2009,2009,,
ChC-IN02,"Chocola, Chris",ChrisChocola,7/1/2012,2012,,
MuC-CT05,"Murphy, Christopher",ChrisMurphyCT,5/1/2010,2010,,
VaC-MD08,"Van Hollen, Chris",ChrisVanHollen,12/1/2008,2008,,
GaJ-IL04,"Garcia, Jesus G. ""Chuy""",ChuyChicago,10/1/2014,2014,,
RoC-TX23,"Rodriguez, Ciro D.",CiroDRodriguez,6/1/2010,2010,,
PeC-MN07,"Peterson, Collin C.",collinpeterson,2/1/2010,2010,,
CoK-TX11,"Conaway, K. Michael",ConawayTX11,5/1/2011,2011,,
PoB-FL08,"Posey, Bill",congbillposey,3/1/2009,2009,,
BoB-PA02,"Boyle, Brendan F.",CongBoyle,11/1/2015,2015,,
HuT-KS01,"Huelskamp, Tim",CongHuelskamp,1/1/2011,2011,,
SiM-ID02,"Simpson, Michael K.",CongMikeSimpson,9/1/2009,2009,,
PaS-MS04,"Palazzo, Steven M.",CongPalazzo,5/1/2011,2011,,
MeL-IN06,"Messer, Luke",Congress_LukeM,4/1/2013,2013,,
VaJ-NJ02,"Van Drew, Jefferson",Congressman_JVD,12/1/2011,2011,,
BeD-MI01,"Benishek, Dan",CongressmanDan,1/1/2011,2011,,
ThG-PA15,"Thompson, Glenn",CongressmanGT,1/1/2009,2009,,
HiJ-GA10,"Hice, Jody B.",CongressmanHice,1/1/2015,2015,,
KrR-IL08,"Krishnamoorthi, Raja",CongressmanRaja,1/1/2016,2016,,
ChS-FL20,"Cherfilus-McCormick, Sheila",CongresswomanSC,1/1/2022,2022,,
MaC-FL14,"Mack, Connie",ConnieMackIV,3/1/2009,2009,,
LaC-PA17,"Lamb, Conor",ConorLambPA,4/1/2017,2017,,
CoJ-TN05,"Cooper, Jim",CoopForCongress,6/1/2012,2012,,
ShC-CT04,"Shays, Christopher",CShays,5/1/2008,2008,,
McC-GA04,"McKinney, Cynthia A.",cynthiamckinney,1/1/2009,2009,,
BuD-IN05,"Burton, Dan",danburton,7/1/2008,2008,,
BrD-VA07,"Brat, Dave",DaveBratVA7th,1/1/2014,2014,,
LoD-IA02,"Loebsack, David",daveloebsack,3/1/2012,2012,,
CiD-RI01,"Cicilline, David N.",davidcicilline,3/1/2009,2009,,
RoD-NC02,"Ross, Deborah K.",DeborahRossNC,10/1/2015,2015,,
ChD-VI00,"Christensen, Donna M.",DelegateDonna,3/1/2011,2011,,
RaD-IL03,"Ramirez, Delia C.",DeliaRamirezIL,11/1/2021,2021,,
RoD-FL15,"Ross, Dennis A.",DennisRossSEU,4/1/2009,2009,,
HeD-WA10,"Heck, Denny",DennyHeck,8/1/2009,2009,,
DeS-TN04,"DesJarlais, Scott",DesJarlaisTN04,1/1/2011,2011,,
HaD-WA04,"Hastings, Doc",DocHastings,10/1/2011,2011,,
NoD-NJ01,"Norcross, Donald",DonaldNorcross,3/1/2015,2015,,
CaD-LA06,"Cazayoux, Donald J., Jr.",DonCazayoux,8/1/2013,2013,,
EdD-MD04,"Edwards, Donna F.",DonnaFEdwards,8/1/2012,2012,,
ShD-FL27,"Shalala, Donna E.",DonnaShalala,5/1/2016,2016,,
MaD-CA07,"Matsui, Doris O.",DorisMatsui,5/1/2009,2009,,
WeD-FL15,"Weldon, Dave",DrDaveWeldon,5/1/2012,2012,,
DuN-FL02,"Dunn, Neal P.",DrNealDunnFL2,1/1/2017,2017,,
GiP-GA11,"Gingrey, Phil",DrPhilGingrey,4/1/2009,2009,,
RoD-TN01,"Roe, David P.",DrPhilRoe,6/1/2009,2009,,
RoE-CA39,"Royce, Edward R.",EdRRoyce,8/1/2010,2010,,
NoE-DC00,"Norton, Eleanor Holmes",EleanorNorton,3/1/2009,2009,,
EsE-CT05,"Esty, Elizabeth H.",ElizabethCrypt7,4/1/2021,2021,,
EnW-IL12,"Enyart, William L.",EnyartforIL12,6/1/2012,2012,,
CaE-VA07,"Cantor, Eric",EricCantor,1/1/2009,2009,,
PaE-MN03,"Paulsen, Erik",ErikPaulsen,11/1/2008,2008,,
JeE-WV03,"Jenkins, Evan H.",EvanJenkinsWV,7/1/2013,2013,,
FaB-TX27,"Farenthold, Blake",farenthold,12/1/2008,2008,,
WoF-VA10,"Wolf, Frank R.",fmrRepWolf,1/1/2011,2011,,
VaG-NM02,"Vasquez, Gabe",Gabe_NM,10/1/2013,2013,,
TaG-MS04,"Taylor, Gene",GeneTaylor4MS,3/1/2014,2014,,
CoG-VA11,"Connolly, Gerald E.",GerryConnolly,9/1/2009,2009,,
GuG-MN01,"Gutknecht, Gil",gilgman,10/1/2014,2014,,
BrG-FL05,"Brown-Waite, Ginny",GinnyBrownWaite,1/1/2010,2010,,
BuG-NC01,"Butterfield, G. K.",GKButterfield,12/1/2011,2011,,
NyG-VA02,"Nye, Glenn C.",GlennNye,8/1/2008,2008,,
GiG-MT00,"Gianforte, Greg",GovGianforte,12/1/2020,2020,,
InJ-WA01,"Inslee, Jay",GovInslee,1/1/2013,2013,,
ReG-PA14,"Reschenthaler, Guy",GReschenthaler,1/1/2015,2015,,
SaM-GU00,"San Nicolas, Michael F. Q.",GuamCongressman,8/1/2011,2011,,
GrG-FL02,"Graham, Gwen",GwenGraham,3/1/2013,2013,,
ClH-MI13,"Clarke, Hansen",HansenClarke,5/1/2010,2010,,
FoH-TN09,"Ford, Harold E., Jr.",HaroldFordJr,7/1/2009,2009,,
HaG-MS03,"Harper, Gregg",HarperCampaign,10/1/2009,2009,,
ShH-NC11,"Shuler, Heath",HeathShuler5,7/1/2017,2017,,
HeJ-WA03,"Herrera Beutler, Jaime",HerreraBeutler,1/1/2011,2011,,
CoH-NC06,"Coble, Howard",HowardCoble,6/1/2011,2011,,
SkI-MO04,"Skelton, Ike",IkeSkelton,1/1/2010,2010,,
OmI-MN05,"Omar, Ilhan",Ilhan,1/1/2019,2019,,
WaZ-TN03,"Wamp, Zach",IOWamp,4/1/2017,2017,,
KiJ-GA01,"Kingston, Jack",JackKingston,4/1/2009,2009,,
JaS-TX18,"Jackson Lee, Sheila",JacksonLeeTX18,1/1/2009,2009,,
HiJ-CT04,"Himes, James A.",jahimes,4/1/2009,2009,,
HaJ-CA36,"Harman, Jane",JaneHarmanCA,8/1/2022,2022,,
HaJ-CA44,"Hahn, Janice",JaniceHahn,2/1/2009,2009,,
ChJ-UT03,"Chaffetz, Jason",jasoninthehouse,12/1/2008,2008,,
ObJ-CA23,"Obernolte, Jay",JayObernolte,1/1/2011,2011,,
FoJ-NE01,"Fortenberry, Jeff",JeffFortenberry,1/1/2009,2009,,
KiJ-VA02,"Kiggans, Jennifer A",JenKiggans,4/1/2019,2019,,
MoJ-KS01,"Moran, Jerry",JerryMoran,1/1/2009,2009,,
WeJ-IL11,"Weller, Jerry",JerryWeller1,12/1/2013,2013,,
JoJ-OH04,"Jordan, Jim",Jim_Jordan,1/1/2008,2008,,
MoJ-VA08,"Moran, James P.",Jim_Moran,6/1/2009,2009,,
LaJ-RI02,"Langevin, James R.",JimLangevin,1/1/2009,2009,,
NuJ-IA01,"Nussle, Jim",JimNussle,2/1/2009,2009,,
ObJ-MN08,"Oberstar, James L.",JimOberstar,2/9/2009,2009,,
RyJ-KS02,"Ryun, Jim",jimryun,12/1/2009,2009,,
MoJ-GU00,"Moylan, James C.",JMoylanforGuam,12/1/2022,2022,,
CaJ-TX20,"Castro, Joaquin",JoaquinCastrotx,1/1/2010,2010,,
GaJ-FL26,"Garcia, Joe",JoeGarcia,12/1/2007,2007,,
KeJ-MA04,"Kennedy, Joseph P., III",joekennedy,1/1/2013,2013,,
PiJ-PA16,"Pitts, Joseph R.",JoePitts4PA,2/1/2010,2010,,
BaJ-GA12,"Barrow, John",JohnBarrowMC,4/1/2020,2020,,
BoJ-AR03,"Boozman, John",JohnBoozman,4/1/2007,2007,,
CaJ-DE00,"Carney, John C., Jr.",JohnCarneyDE,1/1/2011,2011,,
CuJ-TX07,"Culberson, John Abney",johnculberson,5/1/2008,2008,,
DeJ-MD06,"Delaney, John K.",JohnDelaney,12/1/2011,2011,,
DiJ-MI12,"Dingell, John D.",JohnDingell,1/1/2010,2010,,
JaJ-MI10,"James, John",JohnJamesMI,5/1/2017,2017,,
RaJ-TX04,"Ratcliffe, John",JohnRatcliffe,10/1/2014,2014,,
YaJ-KY03,"Yarmuth, John A.",JohnYarmuth,10/1/2011,2011,,
CaJ-TX31,"Carter, John R.",JudgeCarter,12/1/2008,2008,,
PoT-TX02,"Poe, Ted",JudgeTedPoe,9/1/2009,2009,,
BiJ-IL13,"Biggert, Judy",JudyBiggert,2/1/2009,2009,,
AmJ-MI03,"Amash, Justin",justinamash,1/1/2011,2011,,
MaK-NC06,"Manning, Kathy E.",KathyManningNC,12/1/2017,2017,,
ElK-MN05,"Ellison, Keith",keithellison,3/1/2008,2008,,
RoK-PA12,"Rothfus, Keith J.",KeithRothfus,2/1/2013,2013,,
KeR-FL08,"Keller, Ric",keller_ric,2/1/2019,2019,,
CaK-CA41,"Calvert, Ken",KenCalvert,1/1/2009,2009,,
MeK-FL17,"Meek, Kendrick B.",KendrickMeek,3/1/2009,2009,,
BeK-MI11,"Bentivolio, Kerry L.",KerryB4Congress,7/1/2012,2012,,
YoK-KS03,"Yoder, Kevin",kevinyoder,2/1/2011,2011,,
SaG-MP00,"Sablan, Gregorio Kilili Camacho",Kilili_Sablan,11/1/2017,2017,,
NoK-SD00,"Noem, Kristi L.",KristiNoem,2/1/2010,2010,,
HaK-GA05,"Hall, Kwanza",kwanzahall,9/1/2007,2007,,
ClW-MO01,"Clay, Wm. Lacy",LacyClayMO1,5/1/2012,2012,,
SmL-TX21,"Smith, Lamar",LamarSmithTX21,8/1/2008,2008,,
GoL-TX05,"Gooden, Lance",Lancegooden,8/1/2018,2018,,
TeL-NE02,"Terry, Lee",LEETERRYNE,12/1/2008,2008,,
BoL-IA03,"Boswell, Leonard L.",LeonardBoswell,2/1/2009,2009,,
LeJ-MN02,"Lewis, Jason",LewisForMN,9/1/2009,2009,,
DiL-FL21,"Diaz-Balart, Lincoln",LincolnDBalart,8/1/2012,2012,,
LiJ-GA07,"Linder, John",linderje,12/1/2013,2013,,
ChL-WY00,"Cheney, Liz",Liz_Cheney,12/1/2009,2009,,
SaL-CA46,"Sanchez, Loretta",LorettaSanchez,1/1/2010,2010,,
GoL-TX01,"Gohmert, Louie",LouieGohmertTX1,1/1/2016,2016,,
FoL-PR00,"Fortuno, Luis G.",luisfortuno51,8/1/2010,2010,,
ThM-TX13,"Thornberry, Mac",MacTXPress,9/1/2011,2011,,
MaT-PA12,"Marino, Tom",MarinoPA10,9/1/2014,2014,,
DiM-FL26,"Diaz-Balart, Mario",MarioDB,1/1/2009,2009,,
MeM-NC11,"Meadows, Mark",MarkMeadows,11/1/2012,2012,,
SaM-SC01,"Sanford, Mark",MarkSanford,4/1/2009,2009,,
UdM-CO02,"Udall, Mark",MarkUdall,8/1/2007,2007,,
BlM-TN07,"Blackburn, Marsha",MarshaBlackburn,4/1/2011,2011,,
MeM-MA05,"Meehan, Martin T.",MartyMeehan,11/1/2015,2015,,
BoM-CA45,"Bono Mack, Mary",MaryBonoUSA,1/1/2009,2009,,
MiM-OH07,"Miller, Max L.",MaxMillerOH,7/1/2019,2019,,
FlM-TX34,"Flores, Mayra",MayraFlores2022,11/1/2009,2009,,
HiM-HI02,"Hirono, Mazie K.",maziehirono,11/1/2009,2009,,
MeC-LA03,"Melancon, Charlie",melancon2010,8/1/2009,2009,,
LoM-UT04,"Love, Mia B.",MiaBLove,7/1/2011,2011,,
BuM-TX26,"Burgess, Michael C.",michaelcburgess,8/1/2008,2008,,
MiM-ME02,"Michaud, Michael H.",Michaud2014,6/1/2013,2013,,
BaM-MN06,"Bachmann, Michele",MicheleBachmann,12/1/2008,2008,,
MuM-SC05,"Mulvaney, Mick",MickMulvaneyOMB,7/1/2017,2017,,
TrD-MI11,"Trott, David A.",MIDaveTrott,11/1/2014,2014,,
PeM-IN06,"Pence, Mike",Mike_Pence,2/1/2009,2009,,
BiM-MI08,"Bishop, Mike",MikeBishopMI,5/1/2009,2009,,
CaM-MA07,"Capuano, Michael E.",mikecapuano,9/1/2009,2009,,
KeM-PA16,"Kelly, Mike",MikeKellyPA,1/1/2012,2012,,
McM-NC07,"McIntyre, Mike",MikeMcIntyreNC,6/1/2009,2009,,
PoM-KS04,"Pompeo, Mike",mikepompeo,8/1/2019,2019,,
WaM-CA45,"Walters, Mimi",MimiWaltersCA,2/1/2014,2014,,
DeN-GA09,"Deal, Nathan",NathanDeal,6/1/2009,2009,,
AbN-HI01,"Abercrombie, Neil",neilabercrombie,11/1/2007,2007,,
LaN-TX22,"Lampson, Nick",nlampson,2/1/2009,2009,,
ToN-CA35,"Torres, Norma J.",NormaJTorres,1/1/2011,2011,,
BrA-MD04,"Brown, Anthony G.",OAGMaryland,1/1/2017,2017,,
McP-NC10,"McHenry, Patrick T.",PatrickMcHenry,3/1/2009,2009,,
MuP-FL18,"Murphy, Patrick",PatrickMurphyFL,3/1/2011,2011,,
BrP-GA10,"Broun, Paul C.",PaulBrounforGA,9/1/2010,2010,,
HoP-NH02,"Hodes, Paul W.",paulhodes1,4/1/2013,2013,,
PiP-PR00,"Pierluisi, Pedro R.",pedropierluisi,4/1/2009,2009,,
GaP-TX23,"Gallego, Pete P.",petegallego,8/1/2009,2009,,
RoP-IL06,"Roskam, Peter J.",PeterRoskam,2/1/2009,2009,,
WeP-VT00,"Welch, Peter",PeterWelch,5/1/2013,2013,,
SeP-TX17,"Sessions, Pete",PeteSessions,1/1/2009,2009,,
KeP-RI01,"Kennedy, Patrick J.",PJK4brainhealth,4/1/2012,2012,,
CaF-TX23,"Canseco, Francisco ""Quico""",QuicoCanseco,4/1/2014,2014,,
EmR-IL05,"Emanuel, Rahm",RahmEmanuel,10/1/2010,2010,,
HaR-TX04,"Hall, Ralph M.",RalphHallPress,2/1/2013,2013,,
FoJ-VA04,"Forbes, J. Randy",Randy_Forbes,6/1/2008,2008,,
NeR-TX19,"Neugebauer, Randy",RandyNeugebauer,4/1/2009,2009,,
LaR-ID01,"Labrador, Raul R.",Raul_Labrador,2/1/2011,2011,,
LaR-IL18,"LaHood, Ray",RayLaHood,7/1/2013,2013,,
ClA-GA09,"Clyde, Andrew S.",Rep_Clyde,2/1/2021,2021,,
JaJ-IL01,"Jackson, Jonathan L.",rep_jackson,1/1/2023,2023,,
MaS-RI02,"Magaziner, Seth",Rep_Magaziner,1/1/2023,2023,,
PeM-AK00,"Peltola, Mary Sattler",rep_peltola,9/1/2022,2022,,
SoS-FL02,"Southerland, Steve II",Rep_Southerland,1/1/2011,2011,,
WoS-AR03,"Womack, Steve",rep_stevewomack,1/1/2011,2011,,
BeA-FL04,"Bean, Aaron",RepAaronBean,1/1/2022,2022,,
AbR-LA05,"Abraham, Ralph Lee",RepAbraham,1/1/2015,2015,,
AdA-NC12,"Adams, Alma S.",RepAdams,1/1/2014,2014,,
ScA-CA30,"Schiff, Adam B.",RepAdamSchiff,4/1/2009,2009,,
SmA-WA09,"Smith, Adam",RepAdamSmith,3/1/2009,2009,,
SmA-NE03,"Smith, Adrian",RepAdrianSmith,1/1/2011,2011,,
MoA-WV02,"Mooney, Alexander X.",RepAlexMooney,1/1/2015,2015,,
GrA-TX09,"Green, Al",RepAlGreen,4/1/2010,2010,,
RaA-AS00,"Radewagen, Aumua Amata Coleman",RepAmata,2/1/2015,2015,,
CaA-IN07,"Carson, Andre",RepAndreCarson,10/1/2010,2010,,
BaA-KY06,"Barr, Andy",RepAndyBarr,1/1/2013,2013,,
BiA-AZ05,"Biggs, Andy",RepAndyBiggsAZ,1/1/2017,2017,,
HaA-MD01,"Harris, Andy",RepAndyHarrisMD,1/1/2012,2012,,
KiA-NJ03,"Kim, Andy",RepAndyKimNJ,1/1/2018,2018,,
LeA-MI09,"Levin, Andy",RepAndyLevin,1/1/2019,2019,,
CrA-MN02,"Craig, Angie",RepAngieCraig,1/1/2019,2019,,
EsA-CA16,"Eshoo, Anna G.",RepAnnaEshoo,2/1/2011,2011,,
KuA-NH02,"Kuster, Ann M.",RepAnnieKuster,1/1/2013,2013,,
WaA-MO02,"Wagner, Ann",RepAnnWagner,1/1/2012,2012,,
OcA-NY14,"Ocasio-Cortez, Alexandria",RepAOC,1/1/2018,2018,,
ArK-ND00,"Armstrong, Kelly",RepArmstrongND,1/1/2019,2019,,
ArJ-TX19,"Arrington, Jodey C.",RepArrington,1/1/2017,2017,,
HiA-IA02,"Hinson, Ashley",RepAshleyHinson,1/1/2020,2020,,
AuJ-MA04,"Auchincloss, Jake",RepAuchincloss,1/1/2020,2020,,
BaT-OH12,"Balderson, Troy",RepBalderson,9/1/2018,2018,,
LeB-CA12,"Lee, Barbara",RepBarbaraLee,2/1/2011,2011,,
BaN-CA44,"Barragan, Nanette Diaz",RepBarragan,1/1/2017,2017,,
BaJ-SC03,"Barrett, J. Gresham",RepBarrett,1/1/2009,2009,,
MoB-AL02,"Moore, Barry",RepBarryMoore,1/1/2020,2020,,
BeJ-OH03,"Beatty, Joyce",RepBeatty,3/1/2013,2013,,
BaB-VT00,"Balint, Becca",RepBeccaB,1/1/2022,2022,,
ClB-VA06,"Cline, Ben",RepBenCline,1/1/2018,2018,,
BeC-OR02,"Bentz, Cliff",RepBentz,1/1/2021,2021,,
BeA-CA06,"Bera, Ami",RepBera,11/1/2012,2012,,
VaB-TX24,"Van Duyne, Beth",RepBethVanDuyne,12/1/2020,2020,,
FoB-IL11,"Foster, Bill",RepBillFoster,1/1/2013,2013,,
JoB-OH06,"Johnson, Bill",RepBillJohnson,11/1/2010,2010,,
LuB-MO03,"Luetkemeyer, Blaine",RepBlaine,9/1/2013,2013,,
MoB-UT01,"Moore, Blake D.",RepBlakeMoore,12/1/2020,2020,,
BlE-OR03,"Blumenauer, Earl",repblumenauer,8/1/2008,2008,,
GoB-VA05,"Good, Bob",RepBobGood,1/1/2021,2021,,
BoL-CO03,"Boebert, Lauren",RepBoebert,12/1/2020,2020,,
BoS-OR01,"Bonamici, Suzanne",RepBonamici,4/1/2012,2012,,
WaB-NJ12,"Watson Coleman, Bonnie",RepBonnie,1/1/2015,2015,,
BoM-IL12,"Bost, Mike",RepBost,1/1/2015,2015,,
BoJ-NY16,"Bowman, Jamaal",RepBowman,12/1/2020,2020,,
AsB-NE02,"Ashford, Brad",RepBradAshford,1/1/2015,2015,,
BrJ-OK02,"Brecheen, Josh",RepBrecheen,12/1/2022,2022,,
BaB-TX36,"Babin, Brian",RepBrianBabin,12/1/2014,2014,,
HiB-NY26,"Higgins, Brian",RepBrianHiggins,4/1/2009,2009,,
MaB-FL21,"Mast, Brian J.",RepBrianMast,12/1/2016,2016,,
BrJ-CA26,"Brownley, Julia",RepBrownley,3/1/2013,2013,,
StB-WI01,"Steil, Bryan",RepBryanSteil,12/1/2018,2018,,
CaE-GA01,"Carter, Earl L. ""Buddy""",RepBuddyCarter,1/15/2015,2015,,
OwB-UT04,"Owens, Burgess",RepBurgessOwens,12/1/2020,2020,,
CaY-CO08,"Caraveo, Yadira",RepCaraveoMD,1/1/2023,2023,,
CaS-CA24,"Carbajal, Salud O.",RepCarbajal,1/1/2017,2017,,
CaT-CA29,"Cardenas, Tony",repcardenas,2/1/2013,2013,,
GiC-FL28,"Gimenez, Carlos A.",RepCarlos,12/1/2020,2020,,
MiC-WV01,"Miller, Carol D.",RepCarolMiller,1/1/2019,2019,,
CaM-PA08,"Cartwright, Matt",RepCartwright,8/1/2012,2012,,
CaG-TX35,"Casar, Greg",RepCasar,3/1/2022,2022,,
CaS-IL06,"Casten, Sean",RepCasten,1/1/2019,2019,,
CaM-NC11,"Cawthorn, Madison",RepCawthorn,12/1/2020,2020,,
BaC-NH02,"Bass, Charles F.",RepCharlesBass,1/1/2011,2011,,
DjC-HI01,"Djou, Charles K.",RepCharlesDjou,6/1/2010,2010,,
DeC-PA15,"Dent, Charles W.",RepCharlieDent,1/1/2011,2011,,
BuC-IL17,"Bustos, Cheri",RepCheri,1/1/2013,2013,,
RoC-TX21,"Roy, Chip",RepChipRoy,1/1/2019,2019,,
PaC-NH01,"Pappas, Chris",RepChrisPappas,1/1/2018,2018,,
StC-UT02,"Stewart, Chris",RepChrisStewart,1/1/2013,2013,,
FlC-TN03,"Fleischmann, Charles J. ""Chuck""",RepChuck,1/1/2011,2011,,
CiJ-AZ06,"Ciscomani, Juan",RepCiscomani,12/1/2022,2022,,
HiC-LA03,"Higgins, Clay",RepClayHiggins,3/1/2017,2017,,
ClE-MO05,"Cleaver, Emanuel",repcleaver,7/1/2020,2020,,
StC-FL06,"Stearns, Cliff",RepCliffStearns,2/1/2009,2009,,
ClM-TX27,"Cloud, Michael",RepCloudTX,9/1/2018,2018,,
CoS-TN09,"Cohen, Steve",RepCohen,7/1/2010,2010,,
AlC-TX32,"Allred, Colin Z.",RepColinAllred,12/1/2018,2018,,
BuC-MO01,"Bush, Cori",RepCori,6/1/2018,2018,,
CuH-TX28,"Cuellar, Henry",RepCuellar,11/1/2010,2010,,
CuE-MD07,"Cummings, Elijah E.",RepCummings,8/1/2012,2012,,
CuJ-SC01,"Cunningham, Joe",RepCunningham,1/1/2019,2019,,
ClC-FL19,"Clawson, Curt",RepCurtClawson,8/1/2014,2014,,
StD-AL05,"Strong, Dale W.",RepDaleStrong,1/1/2017,2017,,
BiD-NC08,"Bishop, Dan",RepDanBishop,9/1/2019,2019,,
CrD-TX02,"Crenshaw, Dan",RepDanCrenshaw,1/1/2019,2019,,
KiD-MI08,"Kildee, Daniel T.",RepDanKildee,12/1/2012,2012,,
DaD-IL07,"Davis, Danny K.",RepDannyDavis,8/1/2012,2012,,
IsD-CA48,"Issa, Darrell E.",repdarrellissa,8/1/2009,2009,,
SoD-FL09,"Soto, Darren",RepDarrenSoto,1/1/2017,2017,,
ScD-AZ01,"Schweikert, David",RepDavid,12/1/2010,2010,,
PrD-NC04,"Price, David E.",RepDavidEPrice,6/1/2010,2010,,
KuD-TN08,"Kustoff, David",RepDavidKustoff,1/1/2017,2017,,
RoD-NC07,"Rouzer, David",RepDavidRouzer,9/1/2012,2012,,
DaS-KS03,"Davids, Sharice",RepDavids,1/1/2019,2019,,
ScD-GA13,"Scott, David",repdavidscott,7/1/2010,2010,,
TrD-MD06,"Trone, David J.",RepDavidTrone,1/1/2019,2019,,
VaD-CA22,"Valadao, David G.",RepDavidValadao,1/1/2013,2013,,
DeM-PA04,"Dean, Madeleine",RepDean,4/1/2012,2012,,
PhD-MN03,"Phillips, Dean",RepDeanPhillips,11/1/2018,2018,,
DiD-MI06,"Dingell, Debbie",RepDebDingell,11/1/2013,2013,,
DeS-WA01,"DelBene, Suzan K.",RepDelBene,12/1/2012,2012,,
DeC-PA17,"Deluzio, Christopher R.",RepDeluzio,12/1/2022,2022,,
KiD-WA06,"Kilmer, Derek",RepDerekKilmer,1/1/2013,2013,,
DeM-CA10,"DeSaulnier, Mark",RepDeSaulnier,1/1/2015,2015,,
D'A-NY04,"D'Esposito, Anthony",RepDesposito,12/1/2022,2022,,
DeD-CO01,"DeGette, Diana",RepDianaDeGette,4/1/2009,2009,,
BlD-TN06,"Black, Diane",RepDianeBlack,2/1/2010,2010,,
TiD-NV01,"Titus, Dina",repdinatitus,3/1/2010,2010,,
LaD-CO05,"Lamborn, Doug",RepDLamborn,5/1/2012,2012,,
LeD-AZ08,"Lesko, Debbie",RepDLesko,5/1/2018,2018,,
MuD-FL26,"Mucarsel-Powell, Debbie",RepDMP,1/1/2019,2019,,
DoR-IL10,"Dold, Robert J.",RepDold,1/1/2011,2011,,
DoB-FL19,"Donalds, Byron",RepDonaldsPress,12/1/2020,2020,,
BaD-NE02,"Bacon, Don",RepDonBacon,1/1/2017,2017,,
BeD-VA08,"Beyer, Donald S., Jr.",RepDonBeyer,1/1/2015,2015,,
DaD-NC01,"Davis, Donald G.",RepDonDavis,1/1/2023,2023,,
CoD-GA09,"Collins, Doug",RepDougCollins,1/1/2013,2013,,
FeA-GA03,"Ferguson, A. Drew, IV",RepDrewFerguson,12/1/2016,2016,,
JoD-SD00,"Johnson, Dusty",RepDustyJohnson,12/1/2018,2018,,
EvD-PA03,"Evans, Dwight",RepDwightEvans,11/1/2009,2009,,
WaD-FL25,"Wasserman Schultz, Debbie",RepDWStweets,2/1/2013,2013,,
JoE-TX30,"Johnson, Eddie Bernice",RepEBJ,7/1/2010,2010,,
CaE-HI01,"Case, Ed",RepEdCase,1/1/2019,2019,,
EdC-NC11,"Edwards, Chuck",RepEdwards,12/1/2022,2022,,
WhE-KY01,"Whitfield, Ed",RepEdWhitfield,1/1/2011,2011,,
LuE-VA02,"Luria, Elaine G.",RepElaineLuria,1/1/2019,2019,,
CrE-AZ02,"Crane, Elijah",RepEliCrane,12/1/2022,2022,,
ElJ-TX06,"Ellzey, Jake",RepEllzey,3/1/2021,2021,,
BuE-MO07,"Burlison, Eric",RepEricBurlison,12/1/2022,2022,,
SoE-IL17,"Sorensen, Eric",RepEricSorensen,1/1/2023,2023,,
EsV-TX16,"Escobar, Veronica",RepEscobar,12/1/2018,2018,,
EsA-NY13,"Espaillat, Adriano",RepEspaillat,1/1/2017,2017,,
EzM-MS04,"Ezell, Mike",RepEzell,12/1/2022,2022,,
FeR-IA04,"Feenstra, Randy",RepFeenstra,1/1/2021,2021,,
VeF-TX34,"Vela, Filemon",RepFilemonVela,1/1/2013,2013,,
FiS-TN08,"Fincher, Stephen Lee",RepFincherTN08,2/1/2011,2011,,
FiB-MN01,"Finstad, Brad",repfinstad,8/1/2022,2022,,
FiM-MN07,"Fischbach, Michelle",RepFischbach,12/1/2020,2020,,
FiS-WI05,"Fitzgerald, Scott",RepFitzgerald,12/1/2012,2012,,
FlJ-LA04,"Fleming, John",RepFleming,10/1/2009,2009,,
FlL-TX07,"Fletcher, Lizzie",RepFletcher,12/1/2018,2018,,
GuF-NH01,"Guinta, Frank C.",RepFrankGuinta,1/1/2011,2011,,
FrC-FL18,"Franklin, C. Scott",RepFranklin,12/1/2020,2020,,
KeF-PA12,"Keller, Fred",RepFredKeller,6/1/2019,2019,,
UpF-MI06,"Upton, Fred",RepFredUpton,3/1/2010,2010,,
