UniqueID,Name,TwitterHandle,JoinedOn,YearJoined,CreatedAfterSession,YrAfterTwitter
AlR-GA12,"Allen, Rick W.",RepRickAllen,1/1/2015,2015,,
CrE-AR01,"Crawford, Eric A. ""Rick""",reprickcrawford,1/1/2011,2011,,
LaR-WA02,"Larsen, Rick",RepRickLarsen,,1900,,
RiD-VA05,"Riggleman, Denver",RepRiggleman,1/1/2019,2019,,
ToR-NY15,"Torres, Ritchie",RepRitchie,,1900,,
RiD-FL25,"Rivera, David",RepRivera,1/1/2011,2011,,
GaR-CA42,"Garcia, Robert",RepRobertGarcia,,1900,,
HuR-VA05,"Hurt, Robert",RepRobertHurt,1/1/2011,2011,,
KeR-IL02,"Kelly, Robin L.",RepRobinKelly,4/1/2013,2013,,
WoR-GA07,"Woodall, Rob",RepRobWoodall,3/1/2014,2014,,
BlR-IA01,"Blum, Rod",RepRodBlum,1/1/2015,2015,,
KhR-CA17,"Khanna, Ro",RepRoKhanna,,1900,,
EsR-KS04,"Estes, Ron",RepRonEstes,,1900,,
KiR-WI03,"Kind, Ron",RepRonKind,2/1/2010,2010,,
KlR-FL22,"Klein, Ron",RepRonKlein,6/1/2010,2010,,
JaR-TX13,"Jackson, Ronny",RepRonnyJackson,,1900,,
WrR-TX06,"Wright, Ron",RepRonWright,1/1/2019,2019,,
RoF-FL19,"Rooney, Francis",RepRooney,1/1/2017,2017,,
RoM-MT02,"Rosendale Sr., Matthew M.",RepRosendale,12/1/2020,2020,,
SpR-FL15,"Spano, Ross",RepRossSpano,1/1/2019,2019,,
RoL-CA40,"Roybal-Allard, Lucille",RepRoybalAllard,1/1/2012,2012,,
GaR-AZ03,"Gallego, Ruben",RepRubenGallego,,1900,,
YaR-IN02,"Yakym, Rudy",RepRudyYakym,,1900,,
FrR-SC07,"Fry, Russell",RepRussellFry,,1900,,
FuR-ID01,"Fulcher, Russ",RepRussFulcher,,1900,,
RuJ-FL05,"Rutherford, John H.",RepRutherfordFL,2/1/2017,2017,,
WiR-TX25,"Williams, Roger",RepRWilliams,,1900,,
ZiR-MT01,"Zinke, Ryan K.",RepRyanZinke,12/1/2014,2014,,
SaA-OR06,"Salinas, Andrea",RepSalinas,,1900,,
GrS-MO06,"Graves, Sam",RepSamGraves,,1900,,
AdS-FL24,"Adams, Sandy",RepSandyAdams,11/1/2010,2010,,
LeS-MI09,"Levin, Sander M.",repsandylevin,3/1/2009,2009,,
SaG-NY03,"Santos, George",RepSantosNY03,,1900,,
JaS-CA51,"Jacobs, Sara",RepSaraJacobs,,1900,,
SaJ-MD03,"Sarbanes, John P.",RepSarbanes,8/1/2011,2011,,
ScJ-IL09,"Schakowsky, Janice D.",RepSchakowsky,,1900,,
ScB-IL10,"Schneider, Bradley Scott",RepSchneider,1/1/2013,2013,,
ScH-MI03,"Scholten, Hillary J.",RepScholten,1/1/2023,2023,,
PeS-PA10,"Perry, Scott",RepScottPerry,,1900,,
PeS-CA50,"Peters, Scott H.",RepScottPeters,1/1/2013,2013,,
RiE-VA02,"Rigell, E. Scott",RepScottRigell,12/1/2010,2010,,
